DATE,OPPOSITION,RUNS_FOR,RUNS_AGAINST,RESULT
May,Ynysygerwn CC,161,148,W
May,Malpas CC,144,195,L
May,Ynysygerwn CC,250,253,L
May,Penarth CC,194,117,W
May,Pentyrch CC,204,203,W
May,Dafen Welfare CC,278,226,W
,,,,
June,Clydach CC,88,137,W
June,Carmarthen Wanderers CC,117,114,W
June,Port Talbot Town CC,252,166,W
June,Pontarddulais CC,167,170,L
,,,,
July,Port Talbot Town CC,79,78,W
July,Malpas CC,152,150,W
July,Penarth CC,166,167,L
July,Ynysygerwn CC,116,116,L
July,Pentyrch CC,63,198,L
July,Maesteg CC,278,115,W
July,Dafen Welfare CC,124,123,W
,,,,
August,Carmarthen Wanderers CC,152,156,L
August,Mumbles CC,144,143,W
August,Port Talbot Town CC,281,277,W
August,Usk CC,194,235,L
August,Ynysygerwn CC,228,229,L
